policy_id,customer_id,agent_id,policy_type,policy_start_date,policy_end_date,policy_status,region,annual_premium
P000001,C00874,A0055,Commercial,2025-06-12,2026-06-12,Active,Northeast,5068.74
P000002,C00196,A0002,Health,2023-02-11,2024-02-11,Active,Midwest,3340.99
P000003,C00542,A0074,Commercial,2023-10-12,2024-10-11,Active,South,9231.82
P000004,C00143,A0027,Home,2025-01-31,2026-01-31,Cancelled,Midwest,2615.25
P000005,C00626,A0009,Home,2023-06-30,2024-06-29,Active,Midwest,2694.5
P000006,C00676,A0005,Home,2025-05-14,2026-05-14,Active,West,3186.57
P000007,C00316,A0027,Health,2023-12-04,2024-12-03,Renewed,Midwest,7067.79
P000008,C00765,A0035,Life,2023-12-16,2024-12-15,Active,South,1118.57
P000009,C00603,A0054,Health,2025-05-21,2026-05-21,Expired,West,6238.08
P000010,C00748,A0068,Health,2024-08-07,2025-08-07,Active,Northeast,7474.61
P000011,C00048,A0034,Commercial,2023-06-07,2024-06-06,Cancelled,Northeast,9571.43
P000012,C00258,A0057,Health,2024-08-28,2025-08-28,Active,Northeast,4925.15
P000013,C00539,A0074,Life,2024-12-12,2025-12-12,Active,South,1078.0
P000014,C00622,A0043,Auto,2023-05-31,2024-05-30,Renewed,Northeast,1033.9
P000015,C00685,A0048,Auto,2023-11-30,2024-11-29,Renewed,West,1957.76
P000016,C00417,A0067,Home,2023-08-13,2024-08-12,Expired,South,2633.25
P000017,C00617,A0008,Life,2023-06-20,2024-06-19,Active,Midwest,1123.48
P000018,C00858,A0026,Home,2024-12-14,2025-12-14,Cancelled,Midwest,1809.07
P000019,C00590,A0065,Commercial,2024-09-25,2025-09-25,Active,South,10771.52
P000020,C00802,A0074,Auto,2023-06-11,2024-06-10,Active,South,1378.1
P000021,C00322,A0004,Life,2024-01-27,2025-01-26,Active,South,585.09
P000022,C00352,A0075,Auto,2025-02-03,2026-02-03,Renewed,Midwest,1958.47
P000023,C00539,A0070,Life,2024-04-24,2025-04-24,Renewed,South,1545.96
P000024,C00826,A0050,Health,2023-09-23,2024-09-22,Active,South,7722.31
P000025,C00599,A0040,Health,2023-06-15,2024-06-14,Active,West,4942.97
P000026,C00306,A0035,Home,2023-05-17,2024-05-16,Active,South,2486.11
P000027,C00953,A0077,Life,2023-07-04,2024-07-03,Renewed,Northeast,1571.71
P000028,C00261,A0005,Health,2024-03-25,2025-03-25,Renewed,West,7187.73
P000029,C00354,A0069,Auto,2024-01-08,2025-01-07,Active,South,1241.67
P000030,C00185,A0064,Commercial,2025-03-26,2026-03-26,Expired,Northeast,5902.98
P000031,C00485,A0020,Life,2023-07-30,2024-07-29,Active,South,1244.35
P000032,C00309,A0070,Life,2024-06-02,2025-06-02,Active,South,1048.83
P000033,C00041,A0028,Life,2023-11-13,2024-11-12,Renewed,Midwest,868.86
P000034,C00381,A0034,Auto,2024-05-07,2025-05-07,Active,Northeast,1285.88
P000035,C00783,A0017,Home,2023-12-26,2024-12-25,Active,Northeast,2304.15
P000036,C00311,A0006,Home,2024-03-09,2025-03-09,Renewed,South,2335.4
P000037,C00955,A0034,Life,2024-12-24,2025-12-24,Active,Northeast,866.87
P000038,C00828,A0018,Home,2024-03-20,2025-03-20,Renewed,West,3226.13
P000039,C00061,A0058,Life,2025-04-25,2026-04-25,Active,South,1622.87
P000040,C00085,A0029,Commercial,2024-05-07,2025-05-07,Active,Northeast,10902.51
P000041,C00204,A0080,Health,2023-09-18,2024-09-17,Active,Midwest,5002.72
P000042,C00299,A0061,Home,2023-01-10,2024-01-10,Cancelled,South,2453.45
P000043,C00680,A0035,Auto,2023-08-16,2024-08-15,Active,South,1730.63
P000044,C00965,A0054,Life,2024-06-14,2025-06-14,Active,West,1525.77
P000045,C00609,A0014,Auto,2023-07-08,2024-07-07,Renewed,South,1155.45
P000046,C00828,A0048,Home,2024-11-15,2025-11-15,Active,West,2792.82
P000047,C00861,A0040,Life,2024-07-07,2025-07-07,Active,West,693.6
P000048,C00475,A0018,Home,2023-11-24,2024-11-23,Renewed,West,3286.29
P000049,C00917,A0025,Commercial,2024-10-20,2025-10-20,Expired,West,7096.22
P000050,C00999,A0043,Commercial,2023-01-04,2024-01-04,Active,Northeast,10052.59
P000051,C00162,A0075,Auto,2024-05-26,2025-05-26,Cancelled,Midwest,1025.46
P000052,C00365,A0008,Home,2024-05-29,2025-05-29,Cancelled,Midwest,1247.11
P000053,C00696,A0066,Home,2024-08-30,2025-08-30,Renewed,West,1912.06
P000054,C00630,A0030,Home,2023-07-30,2024-07-29,Renewed,West,2469.7
P000055,C00515,A0022,Home,2024-02-02,2025-02-01,Active,South,1494.48
P000056,C00081,A0068,Home,2024-09-19,2025-09-19,Renewed,Northeast,2376.79
P000057,C00019,A0066,Life,2025-06-05,2026-06-05,Active,West,596.23
P000058,C00886,A0018,Home,2025-06-25,2026-06-25,Expired,West,2981.77
P000059,C00253,A0008,Life,2023-02-03,2024-02-03,Active,Midwest,1631.2
P000060,C00764,A0056,Life,2024-09-19,2025-09-19,Active,South,1132.78
P000061,C00141,A0010,Commercial,2023-03-13,2024-03-12,Active,Midwest,8821.93
P000062,C00955,A0029,Commercial,2024-02-14,2025-02-13,Renewed,Northeast,6121.16
P000063,C00304,A0060,Life,2024-06-08,2025-06-08,Cancelled,West,726.67
P000064,C00289,A0060,Commercial,2023-12-24,2024-12-23,Active,West,10002.69
P000065,C00139,A0058,Life,2024-07-10,2025-07-10,Active,South,733.52
P000066,C00520,A0065,Home,2024-10-22,2025-10-22,Renewed,South,1556.29
P000067,C00467,A0060,Life,2024-02-11,2025-02-10,Renewed,West,1464.63
P000068,C00557,A0038,Life,2023-08-16,2024-08-15,Renewed,South,1651.49
P000069,C00012,A0076,Health,2024-10-23,2025-10-23,Active,South,7726.89
P000070,C00930,A0031,Commercial,2024-07-23,2025-07-23,Active,South,10868.37
P000071,C00828,A0066,Auto,2023-03-12,2024-03-11,Renewed,West,2084.76
P000072,C00986,A0004,Health,2024-10-12,2025-10-12,Expired,South,3756.38
P000073,C00496,A0035,Auto,2024-10-23,2025-10-23,Expired,South,1325.12
P000074,C00595,A0052,Life,2025-05-30,2026-05-30,Active,West,1611.42
