premium_id,policy_id,payment_date,premium_amount,payment_status,payment_method
PM0000001,P000001,2025-06-11,1267.18,Late,Card
PM0000002,P000001,2025-09-14,1267.18,Failed,Wire
PM0000003,P000001,2025-12-13,1267.18,Refunded,ACH
PM0000004,P000002,2023-02-16,835.25,Paid,ACH
PM0000005,P000002,2023-05-24,835.25,Paid,Card
PM0000006,P000002,2023-08-19,835.25,Paid,Card
PM0000007,P000002,2023-11-05,835.25,Paid,ACH
PM0000008,P000003,2023-10-16,2307.95,Paid,Check
PM0000009,P000003,2024-01-06,2307.95,Paid,ACH
PM0000010,P000003,2024-04-18,2307.95,Paid,Card
PM0000011,P000004,2025-01-31,653.81,Late,Check
PM0000012,P000004,2025-05-15,653.81,Paid,Check
PM0000013,P000004,2025-07-29,653.81,Paid,Wire
PM0000014,P000004,2025-11-10,653.81,Paid,Card
PM0000015,P000005,2023-07-10,673.62,Paid,Card
PM0000016,P000005,2023-09-28,673.62,Paid,Check
PM0000017,P000005,2024-01-06,673.62,Paid,Card
PM0000018,P000005,2024-03-25,673.62,Paid,ACH
PM0000019,P000006,2025-05-19,796.64,Paid,Card
PM0000020,P000006,2025-08-08,796.64,Late,ACH
PM0000021,P000006,2025-11-25,796.64,Paid,ACH
PM0000022,P000007,2023-12-18,1766.95,Paid,Check
PM0000023,P000007,2024-03-06,1766.95,Paid,ACH
PM0000024,P000007,2024-06-09,1766.95,Paid,Check
PM0000025,P000007,2024-09-05,1766.95,Paid,ACH
PM0000026,P000008,2023-12-19,279.64,Refunded,ACH
PM0000027,P000008,2024-03-18,279.64,Paid,Check
PM0000028,P000008,2024-06-25,279.64,Paid,ACH
PM0000029,P000008,2024-09-19,279.64,Paid,Check
PM0000030,P000009,2025-09-02,1559.52,Paid,Check
PM0000031,P000009,2025-11-28,1559.52,Paid,Check
PM0000032,P000010,2024-08-17,1868.65,Paid,Check
PM0000033,P000010,2024-11-09,1868.65,Paid,Wire
PM0000034,P000010,2025-02-18,1868.65,Paid,Check
PM0000035,P000010,2025-05-11,1868.65,Late,Card
PM0000036,P000011,2023-06-06,2392.86,Late,Wire
PM0000037,P000011,2023-09-12,2392.86,Paid,Card
PM0000038,P000011,2023-12-10,2392.86,Paid,Check
PM0000039,P000011,2024-03-06,2392.86,Late,ACH
PM0000040,P000012,2024-09-01,1231.29,Paid,ACH
PM0000041,P000012,2025-03-10,1231.29,Paid,Card
PM0000042,P000012,2025-06-06,1231.29,Paid,Card
PM0000043,P000013,2024-12-20,269.5,Paid,Wire
PM0000044,P000013,2025-03-22,269.5,Paid,Wire
PM0000045,P000013,2025-06-08,269.5,Paid,Check
PM0000046,P000013,2025-09-20,269.5,Paid,Wire
PM0000047,P000014,2023-09-12,258.48,Paid,Card
PM0000048,P000014,2023-11-29,258.48,Paid,ACH
PM0000049,P000014,2024-02-26,258.48,Paid,Check
PM0000050,P000015,2023-12-01,489.44,Paid,Check
PM0000051,P000015,2024-02-28,489.44,Paid,Check
PM0000052,P000015,2024-05-23,489.44,Paid,Card
PM0000053,P000016,2023-08-13,658.31,Paid,ACH
PM0000054,P000016,2024-02-12,658.31,Paid,Wire
PM0000055,P000016,2024-05-05,658.31,Paid,Wire
PM0000056,P000017,2023-06-24,280.87,Paid,Card
PM0000057,P000017,2023-09-21,280.87,Paid,Check
PM0000058,P000017,2023-12-17,280.87,Paid,Wire
PM0000059,P000017,2024-03-28,280.87,Paid,Wire
PM0000060,P000018,2024-12-22,452.27,Paid,Wire
PM0000061,P000018,2025-03-28,452.27,Refunded,Check
PM0000062,P000018,2025-06-14,452.27,Paid,Check
PM0000063,P000018,2025-09-24,452.27,Failed,Card
PM0000064,P000019,2024-10-07,2692.88,Paid,Card
PM0000065,P000019,2025-03-31,2692.88,Late,Card
PM0000066,P000019,2025-07-06,2692.88,Paid,Check
PM0000067,P000020,2023-06-06,344.52,Paid,ACH
PM0000068,P000020,2023-09-04,344.52,Paid,Wire
PM0000069,P000020,2023-12-10,344.52,Paid,Check
PM0000070,P000020,2024-03-22,344.52,Late,ACH
PM0000071,P000021,2024-02-03,146.27,Paid,Check
PM0000072,P000021,2024-04-23,146.27,Paid,ACH
PM0000073,P000021,2024-08-03,146.27,Paid,Wire
PM0000074,P000021,2024-11-04,146.27,Late,Card
PM0000075,P000022,2025-02-05,489.62,Paid,Card
PM0000076,P000022,2025-05-10,489.62,Paid,Check
PM0000077,P000022,2025-11-13,489.62,Paid,ACH
PM0000078,P000023,2024-05-09,386.49,Paid,Wire
PM0000079,P000023,2024-07-29,386.49,Paid,ACH
PM0000080,P000023,2024-10-19,386.49,Paid,Wire
PM0000081,P000023,2025-01-23,386.49,Paid,Card
PM0000082,P000024,2023-12-30,1930.58,Paid,Card
PM0000083,P000024,2024-04-01,1930.58,Refunded,Check
PM0000084,P000024,2024-07-01,1930.58,Paid,Check
PM0000085,P000025,2023-06-14,1235.74,Paid,Wire
PM0000086,P000025,2023-09-25,1235.74,Paid,Wire
PM0000087,P000025,2023-12-10,1235.74,Paid,ACH
PM0000088,P000025,2024-03-19,1235.74,Paid,Wire
PM0000089,P000026,2023-06-01,621.53,Paid,Card
PM0000090,P000026,2023-08-10,621.53,Failed,ACH
PM0000091,P000026,2023-11-26,621.53,Paid,ACH
PM0000092,P000026,2024-02-18,621.53,Late,Wire
PM0000093,P000027,2023-07-06,392.93,Paid,Card
PM0000094,P000027,2023-10-04,392.93,Paid,Card
PM0000095,P000027,2024-01-06,392.93,Paid,Card
PM0000096,P000028,2024-04-01,1796.93,Paid,Wire
PM0000097,P000028,2024-09-22,1796.93,Paid,ACH
PM0000098,P000028,2024-12-22,1796.93,Paid,Check
PM0000099,P000029,2024-01-15,310.42,Late,Wire
PM0000100,P000029,2024-04-16,310.42,Failed,Card
PM0000101,P000029,2024-07-16,310.42,Paid,Card
PM0000102,P000029,2024-10-03,310.42,Paid,Wire
PM0000103,P000030,2025-03-28,1475.74,Paid,Wire
PM0000104,P000030,2025-07-09,1475.74,Paid,Check
PM0000105,P000030,2025-09-28,1475.74,Paid,Wire
PM0000106,P000030,2025-12-17,1475.74,Paid,Wire
PM0000107,P000031,2023-11-10,311.09,Paid,Card
PM0000108,P000031,2024-01-29,311.09,Late,Wire
PM0000109,P000031,2024-05-07,311.09,Paid,Check
PM0000110,P000032,2024-06-17,262.21,Paid,Card
PM0000111,P000032,2024-09-08,262.21,Paid,Wire
PM0000112,P000032,2025-03-11,262.21,Paid,Wire
PM0000113,P000033,2023-11-23,217.22,Paid,ACH
PM0000114,P000033,2024-02-21,217.22,Paid,Wire
